start_station_name,start_station_latitude,start_station_longitude,end_station_name,end_station_latitude,end_station_longitude
Hicks St & Montague St,40.69512845,-73.99595065,E 31 St & 3 Ave,40.74394314,-73.97966069
Hudson St & Reade St,40.71625008,-74.0091059,Division St & Bowery,40.71413089,-73.9970468
Jackson Ave & 46 Rd,40.74524768,-73.94733276,21 St & 43 Ave,40.75052534,-73.94594845
Jay St & Tech Pl,40.695065,-73.987167,Clark St & Henry St,40.69760127,-73.99344559
Lafayette St & E 8 St,40.730206605,-73.991026282,W Broadway & Spring St,40.72490985,-74.00154702
Lafayette St & Jersey St,40.724305273,-73.996009827,E 15 St & 3 Ave,40.734232,-73.986923
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,E 16 St & 5 Ave,40.73726186,-73.99238967
Lawrence St & Willoughby St,40.69236178,-73.98631746,Johnson St & Gold St,40.69474881,-73.98362464
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,DeKalb Ave & Hudson Ave,40.689888,-73.981013
Lexington Ave & E 24 St,40.74025878,-73.98409214,E 39 St & 2 Ave,40.74780373,-73.9734419
Liberty St & Broadway,40.70905623,-74.01043382,Greenwich St & W Houston St,40.728846,-74.008591
Lispenard St & Broadway,40.71939226,-74.00247214,6 Ave & Canal St,40.72243797,-74.00566443
MacDougal St & Prince St,40.72710258,-74.00297088,E 32 St & Park Ave,40.7457121,-73.98194829
MacDougal St & Washington Sq,40.73226398,-73.99852205,E 9 St & Avenue C,40.72521311,-73.97768752
Macon St & Nostrand Ave,40.680983385,-73.950047976,Macon St & Nostrand Ave,40.680983385,-73.950047976
Madison St & Montgomery St,40.713126,-73.984844,Madison St & Clinton St,40.71269042,-73.98776323
Market St & Cherry St,40.71076228,-73.99400398,Murray St & Greenwich St,40.714851505,-74.011223316
Mercer St & Bleecker St,40.727063633,-73.99662137,1 Ave & E 30 St,40.74144387,-73.97536082
Mott St & Prince St,40.72317958,-73.99480012,E 25 St & 1 Ave,40.7381765,-73.97738662
N 12 St & Bedford Ave,40.72079821,-73.95484712,Hope St & Union Ave,40.71167351,-73.95141312
Norfolk St & Broome St,40.7172274,-73.98802084,E 6 St & Avenue D,40.72228087,-73.97668709
Park Ave & St Edwards St,40.69608941,-73.97803415,Lawrence St & Willoughby St,40.69236178,-73.98631746
Park Pl & Church St,40.71336124,-74.00937622,Water - Whitehall Plaza,40.70255065,-74.0127234
Perry St & Bleecker St,40.73535398,-74.00483091,E 6 St & Avenue B,40.72453734,-73.98185424
Pershing Square North,40.751873,-73.977706,E 51 St & 1 Ave,40.75455731,-73.96592976
Pike St & Monroe St,40.71173107,-73.99193043,Pike St & E Broadway,40.71406667,-73.99293911
